"#","Land","Stadt","Wasserstress","[img=829513a5-ab8f-42d4-8ccc-86a03c1ee716]","[img=77fd26b3-0dd7-4064-ad93-f66b1d8b09f6]","[img=77fd26b3-0dd7-4064-ad93-f66b1d8b09f6]","[img=f5dc9655-6a11-4249-8877-cc10140fe323]","[img=3cb4affe-5521-4054-ad41-e981ae180373]","[img=6e72645a-f82c-449f-8ae9-c0dedc825b16]","[img=aafd8bfd-2288-4c63-8d0b-926dcce4532a]","[img=c357a233-f13e-4332-a195-bb7358f272ff]"
"22","USA","Austin","Niedrig - Medium (10-20%)","87.1","2.16 €","22.5%","0.94 €","1.14 €","0.78 €","1.05 €","35.8%"
"23","Puerto Rico","San Juan","Niedrig (<10%)","78","2.67 €","51.4%","1.02 €","1.02 €","1.09 €","0.24 €","35.4%"
"24","USA","Houston","Medium - Hoch (20-40%)","83.5","2.21 €","25.2%","0.94 €","1.14 €","0.89 €","0.96 €","35.3%"
"25","Australien","Sydney","Medium - Hoch (20-40%)","87.8","2.42 €","37.4%","0.61 €","1.24 €","1.37 €","0.96 €","34.2%"
"26","USA","Seattle","Medium - Hoch (20-40%)","90.5","3.79 €","114.9%","0.83 €","0.86 €","0.82 €","1.28 €","33.2%"
"27","USA","Baltimore","Niedrig (<10%)","82.9","2.69 €","52.2%","1.21 €","0.83 €","0.82 €","0.86 €","32.8%"
"28","USA","Cleveland","Niedrig (<10%)","88.4","2.08 €","18.0%","0.77 €","1.12 €","0.78 €","1.28 €","32.2%"
"29","USA","Denver","Extrem hoch (>80%)","88.7","2.09 €","18.5%","0.68 €","1.10 €","0.95 €","1.18 €","31.8%"
"30","USA","Miami","Niedrig - Medium (10-20%)","86.4","2.69 €","52.5%","0.69 €","1.21 €","0.96 €","1.35 €","31.5%"
"31","USA","Lincoln","Niedrig (<10%)","87.2","1.29 €","-27.0%","0.64 €","1.00 €","0.92 €","1.24 €","31.4%"
"32","USA","San Francisco","Niedrig (<10%)","85.5","5.00 €","183.6%","0.65 €","1.04 €","1.04 €","1.32 €","31.1%"
"33","USA","Chicago","Niedrig (<10%)","85.4","1.30 €","-26.3%","0.96 €","1.02 €","1.05 €","0.87 €","30.1%"
"34","Kolumbien","Bogota","Niedrig - Medium (10-20%)","66","1.07 €","-39.6%","0.31 €","2.67 €","2.12 €","0.28 €","29.9%"
"35","USA","El Paso","Extrem hoch (>80%)","81.9","0.88 €","-50.3%","0.80 €","0.82 €","0.92 €","1.28 €","29.1%"
"36","USA","Salt Lake City","Niedrig - Medium (10-20%)","88.1","1.41 €","-19.9%","0.85 €","0.80 €","1.02 €","1.28 €","26.9%"
"37","USA","Boston","Medium - Hoch (20-40%)","90.8","2.55 €","44.2%","0.85 €","0.89 €","0.78 €","1.28 €","26.8%"
"39","Kanada","Edmonton","Medium - Hoch (20-40%)","91.6","2.52 €","43.0%","0.76 €","1.22 €","0.73 €","1.04 €","25.9%"
"38","USA","Indianapolis","Medium - Hoch (20-40%)","84.4","4.26 €","141.2%","0.70 €","0.69 €","0.74 €","1.23 €","25.9%"
"40","USA","Portland","Niedrig - Medium (10-20%)","90.3","3.75 €","112.6%","0.82 €","1.17 €","0.78 €","1.28 €","25.9%"
"41","Tschechische Republik","Prag","Niedrig (<10%)","80.2","3.09 €","75.3%","1.07 €","0.94 €","1.34 €","1.12 €","25.5%"
"42","Australien","Brisbane","Hoch (40-80%)","87.5","4.29 €","143.3%","0.53 €","1.12 €","1.37 €","0.79 €","20.3%"
"43","USA","Charlotte","Niedrig (<10%)","89.6","1.22 €","-31.0%","0.67 €","0.95 €","0.87 €","1.28 €","20.3%"
"44","USA","Philadelphia","Medium - Hoch (20-40%)","85.2","1.38 €","-22.0%","0.61 €","0.79 €","0.89 €","1.35 €","19.4%"
"45","Australien","Melbourne","Hoch (40-80%)","87.7","3.63 €","106.0%","0.53 €","1.12 €","1.27 €","0.78 €","18.0%"
"46","USA","Dallas","Niedrig - Medium (10-20%)","86.9","1.03 €","-41.4%","0.60 €","0.90 €","0.75 €","1.21 €","18.0%"
"47","USA","Tucson","Hoch (40-80%)","86.9","2.73 €","54.8%","0.74 €","0.82 €","0.78 €","1.09 €","17.2%"
"48","Hongkong","Hongkong","Niedrig (<10%)","78.2","0.49 €","-72.0%","1.05 €","1.05 €","1.06 €","0.36 €","14.6%"
"49","Australien","Adelaide","Extrem hoch (>80%)","86.3","3.56 €","101.8%","0.48 €","1.01 €","1.37 €","0.80 €","13.6%"
"50","Kanada","Montréal","Niedrig (<10%)","90.5","0.99 €","-43.9%","0.38 €","1.27 €","1.11 €","1.04 €","12.4%"
"51","Deutschland","Frankfurt","Hoch (40-80%)","92.3","3.33 €","88.7%","0.55 €","0.84 €","1.14 €","0.89 €","10.8%"
"52","Panama","Panama","Niedrig (<10%)","51.3","0.52 €","-70.8%","0.59 €","1.33 €","2.00 €","0.48 €","10.1%"
"53","Dänemark","Kopenhagen","Medium - Hoch (20-40%)","93.9","4.37 €","147.8%","0.31 €","1.21 €","1.42 €","0.95 €","8.3%"
"54","Deutschland","Köln","Niedrig (<10%)","91.5","3.00 €","70.1%","0.58 €","0.89 €","0.72 €","1.04 €","8.3%"
"55","Neuseeland","Wellington","Niedrig (<10%)","86.2","**","**","0.39 €","1.65 €","1.68 €","0.20 €","8.1%"
"56","Schweiz","Zürich","Niedrig (<10%)","96.4","2.39 €","35.4%","0.56 €","0.61 €","0.93 €","0.92 €","6.9%"
"57","Ukraine","Odessa","Niedrig (<10%)","54.5","0.27 €","-84.6%","0.68 €","0.98 €","2.07 €","0.25 €","6.8%"
"58","Neuseeland","Auckland","Niedrig (<10%)","82.4","1.24 €","-29.8%","0.39 €","1.60 €","1.62 €","0.20 €","4.7%"
"59","Jordanien","Amman","Extrem hoch (>80%)","61","0.94 €","-46.5%","0.23 €","1.50 €","2.21 €","0.26 €","4.4%"
"60","Japan","Tokio","Medium - Hoch (20-40%)","86.1","1.58 €","-10.6%","0.29 €","0.65 €","2.41 €","0.68 €","3.7%"
"61","Deutschland","München","Niedrig - Medium (10-20%)","95.3","3.45 €","95.5%","0.57 €","0.74 €","1.37 €","0.69 €","3.2%"
"62","USA","San Antonio","Medium - Hoch (20-40%)","85.4","1.31 €","-25.6%","0.58 €","1.03 €","0.72 €","0.82 €","3.1%"
"63","Südafrika","Kapstadt","Extrem hoch (>80%)","55.6","1.98 €","11.9%","0.41 €","1.49 €","1.23 €","0.46 €","3.0%"
"64","Ghana","Accra","Niedrig (<10%)","23.8","1.32 €","-25.1%","0.13 €","1.27 €","3.01 €","0.13 €","2.7%"
"65","Deutschland","Stuttgart","Hoch (40-80%)","94.3","4.67 €","164.8%","0.55 €","0.84 €","0.75 €","0.89 €","2.6%"
"66","UAE","Dubai","Hoch (40-80%)","57.7","3.12 €","76.7%","1.05 €","1.35 €","1.42 €","0.28 €","1.0%"
"67","Vereinigtes Königreich","Glasgow","Niedrig (<10%)","95.8","2.94 €","66.7%","0.66 €","0.55 €","0.90 €","0.50 €","0.3%"
"68","Niederlande","Amsterdam","Niedrig (<10%)","96.8","3.65 €","106.9%","0.55 €","0.36 €","1.30 €","0.81 €","-1.9%"
"69","Kanada","Toronto","Niedrig (<10%)","90","3.78 €","114.4%","0.64 €","0.93 €","0.77 €","0.77 €","-2.1%"
"70","Vereinigtes Königreich","Birmingham","Niedrig - Medium (10-20%)","90.9","3.17 €","79.7%","0.64 €","0.71 €","0.75 €","0.50 €","-2.6%"
"71","Kroatien","Zagreb","Niedrig - Medium (10-20%)","74.8","1.68 €","-4.9%","0.59 €","0.56 €","0.83 €","0.77 €","-2.6%"
"72","Peru","Lima","Niedrig (<10%)","34.7","0.78 €","-55.8%","0.29 €","1.77 €","2.24 €","0.29 €","-3.3%"
"73","Portugal","Porto","Medium - Hoch (20-40%)","86.8","1.68 €","-4.7%","0.47 €","1.59 €","0.80 €","0.83 €","-3.5%"
"74","Ungarn","Budapest","Niedrig (<10%)","71","1.23 €","-30.4%","0.64 €","1.17 €","1.31 €","0.46 €","-5.8%"
"75","Südafrika","Johannesburg","Niedrig - Medium (10-20%)","54.6","0.81 €","-53.9%","0.35 €","1.69 €","0.82 €","0.42 €","-9.1%"
"76","Marokko","Casablanca","Extrem hoch (>80%)","49.5","1.00 €","-43.3%","0.30 €","1.21 €","2.15 €","0.28 €","-9.3%"
"77","Großbritannien","Manchester","Medium - Hoch (20-40%)","91.2","3.20 €","81.4%","0.59 €","0.85 €","0.75 €","0.39 €","-9.4%"
"78","Nigeria","Lagos","Niedrig (<10%)","0","0.67 €","-62.2%","0.14 €","3.42 €","1.15 €","0.14 €","-10.5%"
"79","Österreich","Innsbruck","Niedrig (<10%)","100","2.74 €","55.5%","0.65 €","0.48 €","0.86 €","0.60 €","-11.4%"
"80","Schweiz","Genf","Niedrig - Medium (10-20%)","96.5","3.20 €","81.5%","0.56 €","0.61 €","0.93 €","0.92 €","-12.9%"
"81","Frankreich","Marseille","Medium - Hoch (20-40%)","87.8","2.76 €","56.7%","0.83 €","0.29 €","0.29 €","1.11 €","-13.5%"
"82","Kenia","Nairobi","Medium - Hoch (20-40%)","28.3","0.63 €","-64.6%","0.26 €","0.75 €","1.71 €","0.56 €","-14.3%"
"83","Deutschland","Berlin","Hoch (40-80%)","90.9","2.85 €","61.7%","0.44 €","0.69 €","0.63€","0.69 €","-14.5%"
"84","China","Peking","Extrem hoch (>80%)","55.4","0.68 €","-61.6%","0.37 €","1.51 €","0.81 €","0.21 €","-14.8%"
"84","China","Schanghai","Hoch (40-80%)","57.5","0.36 €","-79.7%","0.37 €","1.51 €","0.81 €","0.21 €","-14.8%"
"86","Indien","Bangalore","Extrem hoch (>80%)","20.2","0.24 €","-86.4%","0.11 €","1.69 €","2.48 €","0.11 €","-15.6%"
"87","Saudi-Arabien","Riyadh","Extrem hoch (>80%)","57.7","0.03 €","-98.2%","0.21 €","1.61 €","1.28 €","0.27 €","-15.8%"
"88","Polen","Warschau","Niedrig (<10%)","76","1.42 €","-19.3%","0.31 €","1.26 €","0.94 €","0.42 €","-16.4%"
"89","Frankreich","Paris","Niedrig - Medium (10-20%)","86.6","2.14 €","21.5%","0.36 €","0.39 €","0.70 €","1.11 €","-16.4%"
"90","Russland","Moskau","Extrem hoch (>80%)","65.7","0.72 €","-59.1%","0.19 €","1.42 €","1.39 €","0.60 €","-16.8%"
"91","Estland","Tallinn","Hoch (40-80%)","74.3","0.82 €","-53.8%","0.32 €","0.79 €","1.09 €","0.55 €","-17.4%"
"92","Portugal","Lissabon","Medium - Hoch (20-40%)","88.1","1.63 €","-7.9%","0.37 €","0.95 €","0.88 €","0.83 €","-18.1%"
"93","Niederlande","Rotterdam","Niedrig (<10%)","97.2","3.99 €","126.2%","0.72 €","0.54 €","0.64 €","0.40 €","-18.2%"
"94","Mexiko","Mexiko-Stadt","Extrem hoch (>80%)","32.6","1.10 €","-37.8%","0.27 €","1.13 €","1.37 €","0.27 €","-19.6%"
"95","Großbritannien","London","Hoch (40-80%)","89.8","2.37 €","34.1%","0.51 €","0.64 €","0.75 €","0.39 €","-20.7%"
"96","Malaysia","Kuala Lumpur","Niedrig (<10%)","59.8","0.20 €","-88.4%","0.29 €","1.15 €","1.82 €","0.08 €","-21.0%"
"97","Südkorea","Seoul","Hoch (40-80%)","84.1","0.77 €","-56.5%","0.25 €","0.89 €","1.87 €","0.17 €","-21.3%"
"99","Pakistan","Karachi","Extrem hoch (>80%)","11","0.08 €","-95.7%","0.95 €","0.95 €","1.20 €","0.16 €","-21.6%"
"98","Spanien","Almeria","Extrem hoch (>80%)","76.8","1.95 €","10.5%","0.50 €","1.15 €","0.84 €","0.40 €","-21.6%"
"100","Deutschland","Hamburg","Niedrig (<10%)","95","3.49 €","98.0%","0.51 €","0.63 €","0.72 €","0.69 €","-21.8%"
"101","Senegal","Dakar","Extrem hoch (>80%)","13.8","0.70 €","-60.5%","0.29 €","0.99 €","0.83 €","not available","-22.1%"
"102","Spanien","Madrid","Extrem hoch (>80%)","93.3","1.65 €","-6.3%","0.53 €","0.90 €","0.81 €","0.40 €","-25.8%"
"103","Frankreich","Lyon","Niedrig - Medium (10-20%)","88.9","3.57 €","102.2%","0.36 €","0.36 €","0.29 €","1.11 €","-25.9%"
"104","Katar","Doha","Extrem hoch (>80%)","67.6","1.82 €","2.9%","0.79 €","1.03 €","0.98 €","0.17 €","-27.8%"
"105","Philippinen","Manila","Niedrig - Medium (10-20%)","33.6","0.37 €","-78.9%","0.23 €","0.96 €","1.25 €","0.29 €","-30.6%"
"106","Griechenland","Athen","Hoch (40-80%)","94.2","1.16 €","-34.5%","0.25 €","0.84 €","0.87 €","0.66 €","-31.2%"
"107","Spanien","Barcelona","Hoch (40-80%)","79.9","2.00 €","13.3%","0.49 €","0.51 €","0.86 €","0.41 €","-31.9%"
"108","Dominikanische Republik","Santo Domingo","Niedrig - Medium (10-20%)","34.2","0.71 €","-59.7%","0.16 €","1.04 €","1.33 €","0.21 €","-32.7%"
"109","Vietnam","Ho-Chí-Minh-Stadt","Niedrig - Medium (10-20%)","43.3","0.27 €","-84.7%","0.16 €","1.20 €","1.48 €","0.17 €","-35.8%"
"110","Österreich","Wien","Niedrig (<10%)","98.9","2.85 €","61.7%","0.19 €","0.89 €","0.86 €","0.39 €","-36.2%"
"111","Argentinien","Buenos Aires","Niedrig (<10%)","65.6","0.94 €","-46.6%","0.37 €","1.05 €","0.22 €","0.31 €","-39.5%"
"112","Italien","Rom","Extrem hoch (>80%)","90.1","1.05 €","-40.4%","0.37 €","0.42 €","0.86 €","0.24 €","-44.9%"
"113","Belgien","Brüssel","Extrem hoch (>80%)","85.6","3.49 €","97.5%","0.15 €","0.58 €","0.64 €","0.58 €","-45.1%"
"114","Kuwait","Al Kuwayt","Hoch (40-80%)","68.5","0.70 €","-60.3%","0.16 €","1.20 €","0.88 €","0.16 €","-46.9%"
"115","Indonesien","Jakarta","Niedrig (<10%)","28.7","0.68 €","-61.3%","0.18 €","0.18 €","1.44 €","0.16 €","-47.6%"
"116","Italien","Florenz","Extrem hoch (>80%)","88.6","1.90 €","7.9%","0.26 €","0.45 €","0.66 €","0.30 €","-49.2%"
"117","Ägypten","Kairo","Hoch (40-80%)","34.9","0.07 €","-96.3%","0.22 €","1.11 €","0.57 €","0.11 €","-50.9%"
"118","Italien","Mailand","Niedrig (<10%)","86.9","0.40 €","-77.2%","0.24 €","0.41 €","0.92 €","0.12 €","-51.3%"
"119","Italien","Neapel","Extrem hoch (>80%)","81.2","1.29 €","-26.6%","0.29 €","0.08 €","0.40 €","0.10 €","-67.5%"
"120","Türkei","Istanbul","Extrem hoch (>80%)","47.4","0.85 €","-52.0%","0.15 €","0.77 €","0.14 €","0.14 €","-69.4%"
